word,EP,PC,NY
park,0.166666666666667,0.125,0.395833333333333
apartment,0.222222222222222,0.28125,0.5
younger,0.203703703703704,0.34375,0.520833333333333
private,0.277777777777778,0.0625,0.416666666666667
boyfriend,0.0740740740740741,0.0625,0.3125
city,0.407407407407407,0.3125,0.604166666666667
brother,0.148148148148148,0.28125,0.458333333333333
evening,0.277777777777778,0.40625,0.583333333333333
served,0.111111111111111,0.03125,0.3125
heard,0.611111111111111,0.78125,0.9375
ended,0.259259259259259,0.09375,0.416666666666667
late,0.5,0.5625,0.770833333333333
known,0.407407407407407,0.40625,0.645833333333333
month,0.240740740740741,0.40625,0.5625
brothers,0.0555555555555556,0.09375,0.3125
sad,0.203703703703704,0.28125,0.479166666666667
kept,0.537037037037037,0.65625,0.833333333333333
man,0.611111111111111,0.75,0.916666666666667
writing,0.185185185185185,0.09375,0.375
enjoyed,0.166666666666667,0.03125,0.333333333333333
ate,0.240740740740741,0.25,0.479166666666667
pretty,0.407407407407407,0.375,0.625
begun,0.111111111111111,0.09375,0.333333333333333
drink,0.259259259259259,0.40625,0.5625
hotel,0.0740740740740741,0.09375,0.3125
public,0.240740740740741,0.09375,0.395833333333333
attractive,0.0185185185185185,0.03125,0.25
previous,0.185185185185185,0.15625,0.395833333333333
became,0.351851851851852,0.53125,0.666666666666667
living,0.518518518518518,0.53125,0.75
asking,0.259259259259259,0.25,0.479166666666667
occasion,0.0925925925925926,0,0.270833333333333
country,0.166666666666667,0.34375,0.479166666666667
